"Connect to";"Part";"Alternative Part";"Comment";"Quantity"
"Header, 6-Pin, Dual row";"PBD-6";"X2";"PBD-6-sideways";"1"
"DB-9";"DB-9 Male";"X1";"DB-9";"1"
